group,account,label
commodities,COM_P015,P015
commodities,COM_P016,P016
commodities,COM_P017,P017
commodities,COM_P018,P018
commodities,COM_P019,P019
commodities,COM_P020,P020
commodities,COM_P021,P021
commodities,COM_P022,P022
commodities,COM_P023,P023
commodities,COM_P024,P024
commodities,COM_P025,P025
commodities,COM_P026,P026
commodities,COM_P027,P027
commodities,COM_P028,P028
commodities,COM_P029,P029
commodities,COM_P030,P030
commodities,COM_P031,P031
commodities,COM_P032,P032
commodities,COM_P033,P033
commodities,COM_P034,P034
commodities,COM_P035,P035
commodities,COM_P036,P036
commodities,COM_P037,P037
commodities,COM_P038,P038
commodities,COM_P039,P039
commodities,COM_P040,P040
commodities,COM_P041,P041
commodities,COM_P042,P042
commodities,COM_P043,P043
commodities,COM_P044,P044
commodities,COM_P045,P045
commodities,COM_P046,P046
commodities,COM_P047,P047
commodities,COM_P048,P048
commodities,COM_P049,P049
commodities,COM_P050,P050
commodities,COM_P051,P051
commodities,COM_P052,P052
commodities,COM_P053,P053
commodities,COM_P054,P054
commodities,COM_P055,P055
commodities,COM_P056,P056
commodities,COM_P057,P057
commodities,COM_P058,P058
commodities,COM_P059,P059
commodities,COM_P060,P060
commodities,COM_P061,P061
commodities,COM_P062,P062
commodities,COM_P063,P063
commodities,COM_P064,P064
commodities,COM_P065,P065
commodities,COM_P066,P066
commodities,COM_P067,P067
commodities,COM_P068,P068
commodities,COM_P069,P069
commodities,COM_P070,P070
commodities,COM_P071,P071
commodities,COM_P072,P072
commodities,COM_P073,P073
commodities,COM_P074,P074
commodities,COM_P075,P075
commodities,COM_P076,P076
commodities,COM_P077,P077
commodities,COM_P078,P078
commodities,COM_P079,P079
commodities,COM_P080,P080
commodities,COM_P081,P081
commodities,COM_P082,P082
commodities,COM_P083,P083
commodities,COM_P084,P084
commodities,COM_P085,P085
commodities,COM_P086,P086
commodities,COM_P087,P087
commodities,COM_P088,P088
commodities,COM_P089,P089
commodities,COM_P090,P090
commodities,COM_P091,P091
commodities,COM_P092,P092
commodities,COM_P093,P093
commodities,COM_P094,P094
commodities,COM_P095,P095
commodities,COM_P096,P096
commodities,COM_P097,P097
commodities,COM_P098,P098
commodities,COM_P099,P099
commodities,COM_P100,P100
factors,LAB_UNSK,LAB_UNSK
factors,LAB_SK,LAB_SK
factors,CAP,CAP
factors,LAND,LAND
factors,NRES,NRES
taxes,TAX_OUT,TAX_OUT
taxes,TAX_INT,TAX_INT
taxes,TAX_IMP,TAX_IMP
taxes,TAX_EXP,TAX_EXP
taxes,TAX_FACT,TAX_FACT
taxes,TAX_INC,TAX_INC
institutions,HH,HH
institutions,GOV,GOV
institutions,INV,INV
institutions,ROW,ROW
margins,TRD_MRG,TRD_MRG
